"V1","V2"
766,27
780,26
746,58
761,54
771,62
767,75
756,82
746,73
797,29
803,34
798,40
878,32
873,39
862,39
856,31
862,23
873,24
863,55
858,63
845,64
837,56
843,48
857,47
822,41
815,33
820,24
835,23
843,31
835,40
891,26
901,27
905,35
900,42
891,41
886,33
891,57
887,64
878,64
873,55
878,48
887,48
937,38
932,45
921,44
916,36
921,29
931,30
921,59
915,66
905,65
900,57
905,50
915,51
972,41
966,48
955,47
948,39
954,32
965,34
955,61
949,68
938,67
932,59
937,53
949,53
1008,45
1003,51
990,50
984,43
989,36
1002,37
991,64
986,70
973,70
967,62
973,55
985,56
1045,46
1040,53
1027,52
1021,45
1026,39
1039,39
1029,65
1023,72
1010,72
1004,64
1009,58
1022,59
1081,46
1076,53
1064,53
1058,46
1063,39
1075,40
1065,66
1060,73
1048,72
1041,66
1047,59
1059,59
1110,39
1116,46
1110,52
1098,53
1092,46
1098,40
1076,66
1081,59
1093,59
1098,66
1092,72
1082,73
1148,38
1154,45
1147,51
1134,52
1129,45
1135,39
1115,72
1109,65
1116,59
1128,58
1133,65
1127,71
1185,37
1191,43
1185,50
1172,51
1166,44
1173,38
1152,71
1146,64
1153,58
1166,57
1172,64
1165,70
1222,35
1228,41
1222,48
1210,49
1204,42
1210,36
1203,55
1209,62
1203,68
1190,69
1184,63
1191,56
1258,36
1260,47
1254,53
1245,49
1240,41
1247,34
1238,56
1238,65
1228,68
1222,61
1228,55
1308,33
1313,45
1303,52
1293,46
1295,34
1268,53
1275,46
1284,53
1286,67
1277,74
1269,67
1373,44
1363,51
1353,44
1355,31
1369,31
1345,66
1335,74
1324,66
1323,52
1333,44
1343,51
1436,45
1426,52
1415,44
1417,32
1431,32
1384,51
1394,44
1405,52
1406,67
1397,74
1385,67
1498,47
1489,55
1477,47
1479,35
1493,35
1469,69
1460,76
1448,68
1447,53
1456,46
1468,54
1561,48
1551,55
1540,49
1542,37
1555,37
1532,70
1522,77
1511,69
1510,55
1519,48
1530,55
1623,46
1615,51
1603,46
1604,38
1598,62
1589,69
1576,66
1573,53
1582,46
1594,51
1656,59
1655,54
1661,53
1662,58
1644,61
1636,59
1633,51
1639,48
1646,54
1675,82
1670,82
1668,76
1671,71
1666,124
1661,120
1666,112
1665,85
1675,86
1673,92
1631,159
1625,152
1629,141
1637,142
1639,152
1650,131
1642,132
1637,122
1642,113
1650,113
1654,121
1586,185
1582,175
1590,166
1599,169
1598,181
1612,142
1617,151
1613,161
1605,159
1604,147
1528,199
1524,188
1533,179
1544,185
1542,197
1564,181
1553,176
1551,161
1561,153
1571,158
1572,171
1460,190
1470,183
1481,190
1479,203
1465,203
1512,181
1503,189
1491,182
1490,167
1499,159
1511,166
1396,188
1406,181
1417,189
1414,201
1400,201
1426,167
1436,160
1447,167
1448,183
1438,190
1427,182
1333,183
1343,176
1354,185
1351,197
1337,195
1362,164
1372,157
1383,165
1384,180
1375,187
1363,178
1272,176
1282,171
1292,179
1289,190
1276,188
1300,159
1310,153
1321,160
1322,175
1312,181
1301,173
1228,184
1226,173
1233,166
1239,173
1237,184
1248,154
1255,148
1263,155
1263,168
1255,174
1247,167
1188,184
1186,174
1193,167
1199,173
1197,184
1217,156
1219,167
1213,173
1206,167
1209,156
1147,186
1146,175
1153,168
1159,174
1156,185
1174,148
1180,154
1179,167
1172,174
1166,168
1167,155
1107,187
